District,Season,Soil_pH,Nitrogen,Phosphorus,Potassium,Rainfall,Temperature,Crop
Kadapa,Rabi,7.58,100,67,35,1161,32.9,Rice
Kadapa,Rabi,7.38,137,45,113,1196,27.8,Rice
Nellore,Rabi,6.6,121,46,45,678,25.0,Maize
Visakhapatnam,Kharif,5.85,59,59,103,556,30.6,Cotton
Krishna,Rabi,6.52,99,69,68,463,23.1,Chilli
Kurnool,Rabi,7.76,104,12,112,989,25.7,Rice
Guntur,Rabi,6.25,79,63,83,1165,31.0,Chilli
Vizianagaram,Kharif,6.72,64,65,77,429,25.8,Chilli
Kurnool,Kharif,7.6,46,89,83,427,33.6,Cotton
Vizianagaram,Kharif,5.71,84,27,74,586,20.8,Groundnut
Kurnool,Rabi,6.03,71,53,112,788,24.2,Maize
Kurnool,Rabi,7.59,90,12,110,952,20.8,Rice
Anantapur,Kharif,7.13,129,15,111,431,34.2,Cotton
Nellore,Kharif,7.05,60,26,75,1085,21.7,Maize
Nellore,Rabi,7.25,128,57,36,1020,29.1,Rice
Krishna,Kharif,7.91,43,84,18,719,28.6,Chilli
Kurnool,Rabi,7.85,55,19,90,1107,32.5,Maize
Nellore,Kharif,7.24,68,86,118,523,31.9,Cotton
Vizianagaram,Kharif,6.37,84,57,23,918,29.7,Rice
Guntur,Rabi,7.56,43,65,61,1050,33.4,Chilli
Kadapa,Kharif,6.59,123,76,98,676,29.2,Cotton
Visakhapatnam,Rabi,6.66,135,85,49,730,32.8,Chilli
Krishna,Rabi,7.7,61,69,87,1024,30.0,Chilli
Anantapur,Kharif,6.74,71,33,77,617,25.3,Maize
Chittoor,Rabi,6.2,106,45,86,410,27.7,Groundnut
Nellore,Kharif,6.1,82,72,86,1176,23.6,Rice
Kadapa,Rabi,6.62,32,21,52,626,26.1,Maize
Nellore,Rabi,7.16,77,70,85,943,25.2,Chilli
Visakhapatnam,Rabi,6.38,88,44,54,657,23.5,Maize
Nellore,Rabi,5.8,98,33,39,621,31.1,Cotton
Chittoor,Rabi,7.95,136,34,52,632,25.4,Maize
Chittoor,Kharif,7.27,46,45,20,455,28.3,Cotton
Prakasam,Rabi,5.76,31,83,51,880,27.2,Chilli
Anantapur,Kharif,7.91,62,71,29,466,26.0,Chilli
Krishna,Kharif,5.88,133,82,53,487,34.9,Cotton
Krishna,Rabi,7.02,131,89,43,1194,27.8,Rice
Kadapa,Rabi,6.24,105,64,54,982,29.3,Rice
Vizianagaram,Kharif,7.87,56,90,42,670,29.9,Cotton
Prakasam,Kharif,5.93,39,30,15,818,26.8,Maize
Vizianagaram,Rabi,6.23,59,46,105,689,30.5,Cotton
Kadapa,Kharif,7.22,63,90,90,1077,32.1,Chilli
Nellore,Rabi,5.79,58,29,49,545,21.1,Groundnut
Prakasam,Rabi,6.99,135,82,51,849,21.9,Chilli
Chittoor,Rabi,7.86,94,79,78,848,21.2,Chilli
Guntur,Rabi,7.34,107,42,18,493,23.4,Groundnut
Vizianagaram,Kharif,8.0,116,44,88,441,31.4,Cotton
Prakasam,Rabi,6.8,86,45,38,999,26.5,Rice
Kadapa,Kharif,6.68,82,52,56,1086,21.6,Rice
Prakasam,Rabi,6.53,93,46,99,810,32.2,Maize
Visakhapatnam,Kharif,6.64,70,42,56,518,34.6,Cotton
Kurnool,Kharif,7.14,99,69,67,455,22.8,Chilli
Anantapur,Rabi,7.06,127,16,41,673,28.2,Cotton
Chittoor,Rabi,7.7,92,25,18,1045,29.1,Rice
Nellore,Kharif,6.28,31,80,67,495,23.4,Chilli
Krishna,Rabi,7.87,112,29,78,1133,24.4,Rice
Chittoor,Rabi,7.59,90,41,73,964,22.2,Rice
Nellore,Kharif,7.66,65,63,58,919,24.0,Chilli
Guntur,Rabi,7.32,137,85,89,1075,27.3,Rice
Prakasam,Rabi,6.85,74,52,85,1181,28.2,Maize
Kadapa,Rabi,7.67,119,40,88,792,23.5,Maize
Kurnool,Kharif,6.3,90,58,64,1079,31.9,Rice
Prakasam,Rabi,7.91,46,74,90,739,33.0,Chilli
Kadapa,Kharif,6.81,88,11,107,547,26.1,Groundnut
Prakasam,Kharif,6.67,63,53,94,1109,26.0,Maize
Krishna,Rabi,7.63,139,78,63,724,29.4,Chilli
Kadapa,Kharif,7.04,60,90,102,694,35.0,Cotton
Krishna,Rabi,7.95,127,22,71,570,30.4,Cotton
Guntur,Kharif,6.31,37,47,60,783,26.5,Maize
Nellore,Rabi,6.91,131,33,36,579,21.2,Groundnut
Kurnool,Kharif,6.74,104,28,44,872,29.6,Maize
Kadapa,Rabi,7.17,132,69,51,1093,28.2,Rice
Krishna,Rabi,7.86,105,48,96,834,30.4,Maize
Kadapa,Rabi,6.0,79,71,28,642,25.7,Chilli
Anantapur,Rabi,7.98,67,12,99,805,24.1,Maize
Vizianagaram,Kharif,7.78,125,73,51,1194,32.0,Rice
Vizianagaram,Rabi,6.05,54,89,47,1094,31.3,Chilli
Prakasam,Kharif,7.76,112,15,54,851,20.5,Maize
Anantapur,Kharif,5.73,67,51,110,825,22.6,Maize
Prakasam,Rabi,6.83,64,31,47,893,34.5,Maize
Chittoor,Rabi,7.51,89,19,33,1172,34.5,Rice
Kurnool,Rabi,5.73,80,11,48,949,21.9,Maize
Anantapur,Rabi,6.96,135,57,28,1091,23.5,Rice
Guntur,Rabi,7.79,58,18,96,875,33.6,Maize
Chittoor,Rabi,5.79,35,14,53,904,21.7,Maize
Nellore,Kharif,6.47,77,79,68,1001,31.1,Chilli
Prakasam,Rabi,7.14,136,72,93,817,34.1,Chilli
Chittoor,Kharif,7.23,57,66,71,641,32.8,Cotton
Krishna,Rabi,6.86,112,55,22,807,24.1,Maize
Krishna,Rabi,5.73,57,86,17,451,31.8,Cotton
Nellore,Kharif,7.47,56,18,112,967,23.1,Maize
Nellore,Kharif,6.32,48,86,15,683,32.9,Cotton
Prakasam,Kharif,6.85,132,32,29,1076,33.0,Rice
Prakasam,Kharif,6.4,130,40,90,731,20.2,Maize
Chittoor,Kharif,5.82,83,77,29,1163,21.0,Rice
Kadapa,Rabi,6.78,43,67,79,626,34.2,Cotton
Guntur,Rabi,6.65,33,17,76,811,26.4,Maize
Krishna,Rabi,7.28,86,19,25,729,29.1,Maize
Krishna,Kharif,6.19,111,84,85,1129,24.9,Rice
Vizianagaram,Rabi,6.63,107,65,27,1118,21.7,Rice
Visakhapatnam,Kharif,6.58,59,62,58,864,26.0,Chilli
Krishna,Rabi,6.57,115,42,62,556,30.3,Cotton
Kadapa,Kharif,5.73,40,21,70,498,31.2,Cotton
Anantapur,Kharif,6.89,105,81,86,737,30.1,Chilli
Kurnool,Rabi,7.68,126,64,107,452,34.5,Cotton
Vizianagaram,Rabi,6.38,103,74,42,558,29.9,Cotton
Nellore,Kharif,6.38,101,57,29,1180,24.2,Rice
Nellore,Rabi,7.61,128,89,93,1091,29.6,Rice
Guntur,Rabi,5.57,64,49,58,759,20.1,Maize
Prakasam,Rabi,5.67,124,13,26,1164,28.0,Rice
Kurnool,Rabi,6.63,50,57,54,1138,24.9,Maize
Vizianagaram,Kharif,7.71,49,30,111,1032,20.7,Maize
Krishna,Rabi,6.61,84,72,92,852,26.2,Chilli
Nellore,Kharif,6.36,44,46,101,1094,28.9,Maize
Visakhapatnam,Rabi,5.61,80,86,22,407,23.1,Chilli
Nellore,Kharif,7.41,67,51,30,407,27.5,Groundnut
Kurnool,Kharif,5.82,98,39,79,972,32.5,Rice
Anantapur,Kharif,6.49,124,15,70,419,26.9,Groundnut
Krishna,Rabi,6.94,103,61,105,1055,26.3,Rice
Krishna,Rabi,5.55,71,31,117,1032,26.9,Maize
Anantapur,Kharif,6.59,43,41,70,1003,26.0,Maize
Krishna,Rabi,7.68,125,53,43,741,31.7,Maize
Krishna,Kharif,6.83,54,54,59,1144,34.4,Maize
Prakasam,Kharif,5.76,62,35,37,1016,22.3,Maize
Krishna,Kharif,7.88,110,73,74,1172,28.5,Rice
Vizianagaram,Rabi,7.2,102,89,56,1042,24.7,Rice
Kadapa,Kharif,6.67,110,48,116,681,28.9,Cotton
Anantapur,Kharif,6.28,87,14,22,777,32.5,Maize
Krishna,Kharif,7.04,94,59,74,994,28.3,Rice
Guntur,Rabi,7.77,103,34,56,1019,27.1,Rice
Prakasam,Kharif,6.63,133,53,106,486,27.6,Groundnut
Prakasam,Kharif,6.12,86,66,82,935,29.1,Rice
Anantapur,Rabi,7.79,79,62,114,746,30.2,Chilli
Guntur,Rabi,5.66,42,81,101,795,24.3,Chilli
Vizianagaram,Kharif,6.33,104,28,59,717,34.5,Maize
Kurnool,Kharif,6.99,40,49,86,785,29.7,Maize
Anantapur,Kharif,7.18,136,77,26,1061,30.1,Rice
Visakhapatnam,Rabi,5.55,69,33,42,749,34.2,Maize
Kadapa,Kharif,6.07,47,29,24,702,32.7,Maize
Krishna,Kharif,7.15,128,89,31,1011,25.7,Rice
Prakasam,Kharif,7.58,128,89,118,569,30.8,Cotton
Guntur,Rabi,6.41,122,40,71,1025,24.3,Rice
Kadapa,Kharif,6.84,69,70,39,776,30.2,Chilli
Vizianagaram,Rabi,6.65,66,58,79,940,26.3,Maize
Prakasam,Kharif,7.5,47,42,21,1056,27.2,Maize
Anantapur,Kharif,7.28,96,25,51,485,31.4,Cotton
Chittoor,Rabi,7.76,48,65,26,627,32.3,Cotton
Anantapur,Kharif,6.54,80,74,62,641,25.8,Chilli
Krishna,Rabi,6.06,70,22,106,1065,25.0,Maize
Prakasam,Kharif,5.6,136,70,104,542,31.4,Cotton
Kadapa,Rabi,7.04,40,12,47,620,32.5,Cotton
Visakhapatnam,Rabi,5.78,66,40,53,524,20.7,Groundnut
Kurnool,Rabi,5.66,137,73,91,948,20.2,Rice
Visakhapatnam,Kharif,7.3,67,64,15,1029,25.3,Chilli
Vizianagaram,Rabi,5.97,115,20,82,769,21.0,Maize
Visakhapatnam,Kharif,6.48,90,15,96,796,34.7,Maize
Chittoor,Kharif,6.39,38,54,45,1150,29.9,Maize
Krishna,Rabi,5.83,75,79,58,1058,22.6,Chilli
Kadapa,Rabi,7.08,133,27,23,1133,31.6,Rice
Kadapa,Kharif,6.23,35,35,20,723,34.0,Maize
Visakhapatnam,Rabi,7.97,99,70,47,437,31.3,Cotton
Nellore,Rabi,6.39,129,16,98,739,24.1,Maize
Anantapur,Rabi,7.72,125,66,64,747,34.6,Chilli
Kadapa,Rabi,6.42,132,76,49,484,30.9,Cotton
Krishna,Rabi,7.01,135,33,84,700,24.8,Maize
Krishna,Rabi,7.15,69,67,92,1134,26.4,Chilli
Kadapa,Rabi,6.62,123,55,93,845,24.1,Maize
Guntur,Kharif,7.18,81,56,80,1167,30.2,Rice
Guntur,Kharif,7.62,116,66,19,529,21.0,Chilli
Anantapur,Rabi,6.46,102,14,92,557,30.2,Cotton
Anantapur,Rabi,6.61,39,83,32,942,25.5,Chilli
Anantapur,Rabi,6.12,44,13,109,590,27.5,Groundnut
Kurnool,Kharif,6.15,63,67,42,1026,24.3,Chilli
Kadapa,Kharif,5.81,139,19,72,576,33.5,Cotton
Kadapa,Kharif,7.53,138,50,100,755,30.6,Maize
Visakhapatnam,Rabi,7.73,138,30,106,1126,33.9,Rice
Prakasam,Rabi,6.77,45,35,116,542,23.6,Groundnut
Kadapa,Kharif,6.4,103,57,74,964,21.9,Rice
Krishna,Kharif,6.27,121,71,82,820,31.5,Chilli
Vizianagaram,Kharif,5.81,70,19,72,877,30.2,Maize
Anantapur,Kharif,7.69,129,80,96,1001,22.7,Rice
Prakasam,Rabi,6.76,37,25,81,556,24.6,Groundnut
Prakasam,Rabi,7.84,58,54,81,690,32.7,Cotton
Chittoor,Kharif,7.09,100,45,31,1040,24.5,Rice
Visakhapatnam,Kharif,6.76,51,85,89,557,22.6,Chilli
Vizianagaram,Rabi,7.61,102,15,120,429,21.2,Groundnut
Vizianagaram,Rabi,7.13,128,83,68,1032,29.6,Rice
Kadapa,Rabi,7.1,68,71,46,1101,26.1,Chilli
Kadapa,Kharif,7.22,50,66,68,895,27.0,Chilli
Anantapur,Kharif,6.28,121,50,108,753,34.6,Maize
Prakasam,Rabi,6.79,43,50,45,877,21.8,Maize
Kadapa,Kharif,5.85,36,47,64,1030,26.3,Maize
Prakasam,Rabi,7.83,122,50,39,1181,22.4,Rice
Visakhapatnam,Rabi,6.75,69,73,17,492,34.2,Cotton
Visakhapatnam,Rabi,7.92,57,84,60,449,20.8,Chilli
Kadapa,Rabi,6.21,31,23,70,537,33.2,Cotton
Anantapur,Rabi,6.41,81,16,87,975,22.9,Rice
Visakhapatnam,Rabi,5.68,94,67,112,963,24.2,Rice
Vizianagaram,Kharif,5.82,42,60,62,747,28.4,Maize
Anantapur,Kharif,6.0,95,61,79,441,20.7,Chilli
Prakasam,Rabi,7.51,96,68,34,1020,33.4,Rice
Prakasam,Rabi,7.83,70,30,65,1031,31.1,Maize
Chittoor,Rabi,6.77,95,78,77,1125,28.4,Rice
Kadapa,Kharif,6.42,116,24,68,997,24.6,Rice
Guntur,Rabi,6.16,113,84,88,633,30.8,Cotton
Vizianagaram,Rabi,5.93,110,89,114,789,22.2,Chilli
Nellore,Kharif,6.93,119,24,39,419,26.6,Groundnut
Kurnool,Kharif,6.53,56,62,79,1193,29.2,Chilli
Kadapa,Kharif,7.26,96,36,86,732,35.0,Maize
Kadapa,Rabi,6.28,52,68,83,750,28.2,Chilli
Chittoor,Rabi,5.98,61,45,86,705,23.4,Maize
Chittoor,Rabi,7.26,118,72,55,891,25.2,Chilli
Chittoor,Rabi,5.8,116,79,63,804,32.3,Chilli
Prakasam,Rabi,5.61,121,20,59,852,29.8,Maize
Kadapa,Kharif,6.01,98,44,86,1112,24.1,Rice
Krishna,Kharif,6.11,115,77,43,1053,23.5,Rice
Krishna,Rabi,6.33,90,22,102,1189,22.1,Rice
Visakhapatnam,Kharif,6.52,90,71,98,604,31.3,Cotton
Chittoor,Rabi,6.21,37,21,98,987,23.5,Maize
Guntur,Kharif,6.54,137,32,19,806,31.8,Maize
Prakasam,Rabi,7.69,31,48,87,1017,21.6,Maize
Anantapur,Rabi,6.64,112,79,82,905,33.3,Rice
Prakasam,Rabi,6.18,133,24,57,566,31.0,Cotton
Chittoor,Kharif,5.54,73,47,87,1090,31.4,Maize
Prakasam,Rabi,7.57,95,51,26,810,30.0,Maize
Prakasam,Kharif,6.69,61,10,48,792,23.5,Maize
Chittoor,Rabi,6.25,122,83,16,667,29.8,Cotton
Nellore,Kharif,7.17,89,49,35,815,30.3,Maize
Chittoor,Kharif,7.1,67,57,93,626,23.3,Maize
Prakasam,Rabi,5.88,125,87,62,825,30.5,Chilli
Kadapa,Kharif,7.4,117,86,115,483,27.9,Chilli
Visakhapatnam,Rabi,5.7,102,24,22,960,33.5,Rice
Nellore,Kharif,5.91,139,76,71,519,30.2,Cotton
Vizianagaram,Rabi,5.73,95,67,118,456,26.8,Chilli
Visakhapatnam,Rabi,6.64,37,81,74,1088,32.1,Chilli
Guntur,Rabi,6.14,30,37,89,474,20.7,Groundnut
Anantapur,Kharif,6.85,37,18,75,432,24.3,Groundnut
Prakasam,Kharif,7.41,123,63,62,791,26.7,Chilli
Kurnool,Rabi,5.7,114,79,32,1069,32.9,Rice
Krishna,Kharif,7.98,80,77,31,1145,34.7,Chilli
Guntur,Kharif,7.95,89,79,69,944,25.7,Rice
Nellore,Kharif,6.65,49,45,39,1142,31.5,Maize
Guntur,Rabi,7.04,32,40,41,468,21.5,Groundnut
Guntur,Rabi,6.99,120,16,46,1158,20.7,Rice
Kadapa,Kharif,6.85,126,17,32,915,34.9,Rice
Nellore,Rabi,6.94,128,51,45,709,33.1,Maize
Visakhapatnam,Kharif,6.53,65,17,86,1005,33.2,Maize
Prakasam,Rabi,6.89,36,54,97,1087,25.7,Maize
Visakhapatnam,Rabi,7.24,82,29,53,785,22.8,Maize
Visakhapatnam,Rabi,6.1,58,48,105,547,32.1,Cotton
Guntur,Rabi,7.92,101,77,32,797,23.6,Chilli
Nellore,Rabi,7.12,87,57,26,948,30.9,Rice
Nellore,Kharif,6.17,116,87,92,440,33.1,Cotton
Nellore,Kharif,6.7,72,48,16,616,34.1,Cotton
Krishna,Rabi,7.79,119,87,105,609,25.9,Chilli
Nellore,Rabi,7.44,78,69,83,1064,25.4,Chilli
Chittoor,Rabi,6.78,93,69,27,1139,27.0,Rice
Anantapur,Kharif,6.43,82,15,87,626,31.1,Cotton
Guntur,Rabi,6.88,104,84,107,827,24.4,Chilli
Nellore,Rabi,6.08,102,41,78,963,29.8,Rice
Anantapur,Rabi,7.41,92,72,73,572,31.0,Cotton
Anantapur,Kharif,5.85,99,72,38,955,34.9,Rice
Guntur,Kharif,7.6,39,16,112,406,26.2,Groundnut
Nellore,Kharif,7.27,31,37,79,866,25.6,Maize
Vizianagaram,Rabi,7.15,32,10,83,964,26.2,Maize
Guntur,Rabi,6.84,66,12,79,1114,30.1,Maize
Prakasam,Kharif,7.8,97,29,45,596,29.3,Cotton
Chittoor,Rabi,6.17,80,20,62,815,26.9,Maize
Nellore,Kharif,6.25,135,20,98,1065,31.4,Rice
Krishna,Rabi,6.45,100,70,22,1052,20.1,Rice
Prakasam,Kharif,6.75,85,52,87,497,33.4,Cotton
Guntur,Kharif,6.03,118,82,75,677,20.7,Chilli
Krishna,Rabi,7.75,102,14,37,722,20.2,Maize
Nellore,Kharif,7.38,121,60,24,706,22.4,Maize
Nellore,Rabi,7.19,99,52,64,1173,31.1,Rice
Krishna,Rabi,5.63,85,39,24,748,29.1,Maize
Vizianagaram,Rabi,7.92,71,13,96,679,31.8,Cotton
Kadapa,Rabi,6.07,100,58,70,590,30.2,Cotton
Kurnool,Kharif,7.43,67,41,106,475,21.2,Groundnut
Prakasam,Rabi,7.28,111,29,109,798,24.8,Maize
Krishna,Kharif,5.51,69,66,61,1179,24.0,Chilli
Prakasam,Kharif,5.97,87,81,86,924,26.1,Rice
Guntur,Kharif,6.38,41,86,91,732,33.0,Chilli
Guntur,Rabi,6.53,129,20,107,972,33.6,Rice
Nellore,Kharif,7.21,51,27,49,708,24.0,Maize
Prakasam,Kharif,5.92,65,63,53,895,31.7,Chilli
Anantapur,Rabi,7.86,122,90,78,1008,29.3,Rice
Kadapa,Kharif,5.84,30,60,57,1035,25.7,Maize
Anantapur,Rabi,6.34,134,86,32,707,24.8,Chilli
Nellore,Rabi,6.29,80,50,52,1152,30.4,Maize
Kadapa,Kharif,6.31,65,60,61,516,34.0,Cotton
Nellore,Kharif,7.2,100,13,108,872,34.1,Maize
Nellore,Rabi,7.49,136,18,119,818,30.1,Maize
Prakasam,Rabi,6.11,114,29,106,833,31.8,Maize
Krishna,Rabi,7.98,91,84,66,947,27.6,Rice
Kurnool,Kharif,7.48,76,78,91,1053,33.7,Chilli
Krishna,Kharif,7.14,75,31,97,1027,20.7,Maize
Kurnool,Rabi,7.91,85,23,16,500,23.9,Groundnut
Visakhapatnam,Kharif,6.61,80,69,113,1095,28.8,Chilli
Visakhapatnam,Kharif,6.36,33,71,28,702,26.2,Chilli
Krishna,Kharif,7.58,123,28,59,719,25.1,Maize
Nellore,Rabi,6.37,42,66,107,1113,26.8,Chilli
Krishna,Rabi,5.61,120,24,17,751,29.7,Maize
Prakasam,Kharif,6.79,100,30,57,973,26.4,Rice
Kadapa,Kharif,7.49,110,33,38,1055,29.9,Rice
Kurnool,Kharif,7.34,55,67,90,839,25.8,Chilli
Nellore,Kharif,6.2,120,18,88,504,32.0,Cotton
Visakhapatnam,Kharif,6.41,55,68,29,668,30.1,Cotton
Kadapa,Rabi,6.99,108,60,90,516,25.2,Groundnut
Kadapa,Kharif,7.53,120,48,93,1004,21.3,Rice
Prakasam,Rabi,5.79,69,24,38,782,30.4,Maize
Visakhapatnam,Rabi,6.55,47,83,64,833,22.8,Chilli
Visakhapatnam,Kharif,6.89,92,46,32,591,24.7,Groundnut
Kadapa,Kharif,7.66,31,72,32,599,32.2,Cotton
Visakhapatnam,Rabi,6.52,92,63,105,854,27.3,Chilli
Krishna,Kharif,7.49,58,47,19,681,23.4,Maize
Chittoor,Kharif,7.45,102,73,85,923,21.7,Rice
Krishna,Rabi,7.44,135,56,84,1174,20.6,Rice
Kadapa,Kharif,7.97,43,41,53,433,26.7,Groundnut
Anantapur,Kharif,6.6,45,40,41,1155,28.8,Maize
Anantapur,Rabi,5.91,47,36,119,611,32.1,Cotton
Vizianagaram,Rabi,6.83,106,78,36,731,34.7,Chilli
Chittoor,Rabi,6.93,139,75,101,497,22.0,Chilli
Kurnool,Kharif,7.98,140,26,104,535,23.7,Groundnut
Anantapur,Kharif,7.4,116,60,77,545,28.7,Cotton
Chittoor,Rabi,6.44,39,21,66,927,31.2,Maize
Anantapur,Rabi,7.88,71,84,15,1192,32.7,Chilli
Krishna,Rabi,7.09,119,55,23,947,26.0,Rice
Kurnool,Kharif,6.74,71,46,58,960,28.7,Maize
Vizianagaram,Rabi,7.47,117,16,20,501,29.4,Cotton
Kadapa,Kharif,5.81,139,30,71,867,20.0,Maize
Kurnool,Kharif,7.99,46,48,35,680,21.4,Maize
Anantapur,Rabi,5.71,115,31,21,805,29.4,Maize
